No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1117,105410203,Psikoloji,İSTANBUL MEDENİYET ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,İSTANBUL,DEVLET,59572,50905,55868,58666,36758,44096,46400,31227,0,0,60,80,80,80,70,70,60,62,,,1937,2650,1,1773,16,68,31,18,64,21,19,63,36
1118,208450834,Psikoloji,İSTİNYE ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,59631,52283,59980,66195,,,,,,,10,10,10,9,,,,,,,181,302,539,,4,7,5,3,7,6,2,7,3
1119,106990699,Yazılım Mühendisliği,KOCAELİ ÜNİVERSİTESİ,4,SAYISAL,,KOCAELİ,DEVLET,59633,45317,50908,64055,,,,,,,70,60,60,60,,,,,,,2399,3917,6,,38,24,29,32,30,39,48,14,34
1120,300190396,Diş Hekimliği,DOĞU AKDENİZ ÜNİVERSİTESİ,5,SAYISAL,(UOLP-Sağlık Bilimleri Üniversitesi) (%50 İndirimli),GAZİMAĞUSA,,59651,49295,49952,42258,38723,38575,-1,-1,-1,-1,11,10,10,10,10,10,-1,-1,-1,-1,199,185,110,197,6,4,6,6,4,7,7,3,6
1121,205710711,Makine Mühendisliği,TÜRK HAVA KURUMU ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,VAKIF,59670,55445,64975,70160,70528,60309,64300,0,,,6,4,8,4,10,5,4,,,7,242,199,152,188,5,0,2,5,3,5,4,0,2
1122,204950515,Bilgisayar Mühendisliği,PİRİ REİS ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,59914,0,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
1123,105810159,Enerji Sistemleri Mühendisliği,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,4,SAYISAL,(İngilizce),İZMİR,DEVLET,59947,64742,80505,91121,92541,102011,-1,-1,-1,-1,45,40,40,40,40,40,-1,-1,-1,-1,1083,771,539,669,26,15,16,25,16,13,30,11,18
1124,206710467,İç Mimarlık ve Çevre Tasarımı,TED ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),ANKARA,VAKIF,59966,55446,73997,66267,,,,,,,7,9,9,9,,,,,,,281,285,526,,0,11,9,1,8,2,1,8,5
1125,200590236,Hukuk,BAHÇEŞEHİR ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(%50 İndirimli),İSTANBUL,VAKIF,60011,18038,17982,0,,,,,,,37,10,7,,,,,,,,221,842,0,,5,5,6,4,3,3,0,0,0
1126,109710312,Elektrik-Elektronik Mühendisliği,BURSA ULUDAĞ ÜNİVERSİTESİ,4,SAYISAL,,BURSA,DEVLET,60038,57977,63082,69247,67498,64740,60600,60605,58349,56758,90,90,90,90,90,90,90,93,90,93,2263,2044,2,2160,79,14,50,64,29,51,75,18,46
1127,209110096,Endüstri Mühendisliği,OSTİM TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,VAKIF,60061,53730,65754,0,,,,,,,9,8,6,,,,,,,,348,311,0,,3,6,8,4,2,3,0,0,0
1128,100510235,Eczacılık,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,5,SAYISAL,,AĞRI,DEVLET,60131,61281,59728,49572,47086,47878,45100,36330,37856,36430,50,80,80,80,80,80,80,62,50,62,1897,2406,3,3296,17,65,59,43,39,66,34,48,60
